words,frequency,Sentiment,Category
want,10,Negative,HEALTH_AND_FITNESS
without,10,Negative,HEALTH_AND_FITNESS
run,10,Negative,HEALTH_AND_FITNESS
need,10,Negative,HEALTH_AND_FITNESS
frustrating,10,Negative,HEALTH_AND_FITNESS
targets,10,Negative,HEALTH_AND_FITNESS
accuweather,4,Positive,WEATHER
action:,10,Negative,HEALTH_AND_FITNESS
cluster,10,Negative,HEALTH_AND_FITNESS
setting,10,Negative,HEALTH_AND_FITNESS
cluster[1],10,Negative,HEALTH_AND_FITNESS
eat,10,Negative,HEALTH_AND_FITNESS
actually,9,Negative,HEALTH_AND_FITNESS
good,9,Negative,HEALTH_AND_FITNESS
say,9,Negative,HEALTH_AND_FITNESS
failed,9,Negative,HEALTH_AND_FITNESS
never,9,Negative,HEALTH_AND_FITNESS
issues,9,Negative,HEALTH_AND_FITNESS
found,9,Negative,HEALTH_AND_FITNESS
complicated,9,Negative,HEALTH_AND_FITNESS
started,9,Negative,HEALTH_AND_FITNESS
load,9,Negative,HEALTH_AND_FITNESS
uninstalled,9,Negative,HEALTH_AND_FITNESS
morning,9,Negative,HEALTH_AND_FITNESS
change,9,Negative,HEALTH_AND_FITNESS
paid,9,Negative,HEALTH_AND_FITNESS
something,9,Negative,HEALTH_AND_FITNESS
stop,9,Negative,HEALTH_AND_FITNESS
unfortunately,9,Negative,HEALTH_AND_FITNESS
see,9,Negative,HEALTH_AND_FITNESS
start,9,Negative,HEALTH_AND_FITNESS
making,9,Negative,HEALTH_AND_FITNESS
premium,9,Negative,HEALTH_AND_FITNESS
works,8,Negative,HEALTH_AND_FITNESS
ever,8,Negative,HEALTH_AND_FITNESS
several,8,Negative,HEALTH_AND_FITNESS
shows,8,Negative,HEALTH_AND_FITNESS
bad,8,Negative,HEALTH_AND_FITNESS
completely,8,Negative,HEALTH_AND_FITNESS
feel,8,Negative,HEALTH_AND_FITNESS
however,8,Negative,HEALTH_AND_FITNESS
result,8,Negative,HEALTH_AND_FITNESS
fitness,8,Negative,HEALTH_AND_FITNESS
accuweather,1,Neutral,WEATHER
control,8,Negative,HEALTH_AND_FITNESS
new,8,Negative,HEALTH_AND_FITNESS
pay,8,Negative,HEALTH_AND_FITNESS
eating,8,Negative,HEALTH_AND_FITNESS
thing,8,Negative,HEALTH_AND_FITNESS
similar,8,Negative,HEALTH_AND_FITNESS
body,8,Negative,HEALTH_AND_FITNESS
terrible,8,Negative,HEALTH_AND_FITNESS
